src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.42.36,192.168.42.211,60617,53,17,2023-11-24 20:06:16,140099.04861450195,1698.798117144131,21.41342164467392,14.275614429782614,7.137807214891307,2,1,148,90,74.0,74.0,74.0,0.0,90.0,90.0,90.0,0.0,90,74,79.33333333333333,7.542472332656507,56.88888888888889,16,8,8,2,70049.52430725098,102732.18154907227,37366.86706542969,32682.65724182129,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.5,79.33333333333333,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,90.0,0,2,1,148,90
192.168.42.36,192.168.42.211,59408,53,17,2023-11-24 20:06:16,144526.95846557617,1729.7810917369143,20.75737310084297,13.838248733895313,6.919124366947656,2,1,148,102,74.0,74.0,74.0,0.0,102.0,102.0,102.0,0.0,102,74,83.33333333333333,13.199326582148888,174.22222222222226,16,8,8,2,72263.47923278809,101850.03280639648,42676.92565917969,29586.5535736084,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.5,83.33333333333333,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,102.0,0,2,1,148,102
192.168.42.36,192.168.42.211,49885,53,17,2023-11-24 20:06:16,144378.9005279541,1648.4403131600197,20.77865940958008,13.85243960638672,6.92621980319336,2,1,148,90,74.0,74.0,74.0,0.0,90.0,90.0,90.0,0.0,90,74,79.33333333333333,7.542472332656507,56.88888888888889,16,8,8,2,72189.45026397705,101937.05558776855,42441.84494018555,29747.605323791504,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.5,79.33333333333333,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,90.0,0,2,1,148,90
192.168.42.36,192.168.42.211,51546,53,17,2023-11-24 20:06:16,145684.95750427246,1716.0316636854448,20.592379964225337,13.72825330948356,6.86412665474178,2,1,148,102,74.0,74.0,74.0,0.0,102.0,102.0,102.0,0.0,102,74,83.33333333333333,13.199326582148888,174.22222222222226,16,8,8,2,72842.47875213623,101472.85461425781,44212.10289001465,28630.375862121582,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.5,83.33333333333333,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,102.0,0,2,1,148,102
192.168.42.36,192.168.42.211,50079,53,17,2023-11-24 20:06:16,114351.03416442871,7800.54160872185,34.98000721399933,17.490003606999664,17.490003606999664,2,2,190,702,95.0,95.0,95.0,0.0,351.0,351.0,351.0,0.0,351,95,223.0,128.0,16384.0,16,16,8,2,38117.011388142906,97450.97160339355,1318.9315795898438,42357.539345145175,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,223.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,351.0,0,2,2,190,702
192.168.42.36,192.168.42.211,61815,53,17,2023-11-24 20:06:16,113672.97172546387,5313.48825346754,35.18866393024861,17.594331965124304,17.594331965124304,2,2,190,414,95.0,95.0,95.0,0.0,207.0,207.0,207.0,0.0,207,95,151.0,56.0,3136.0,16,16,8,2,37890.990575154625,96771.9554901123,1318.9315795898438,42040.340990576624,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,151.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,207.0,0,2,2,190,414
192.168.42.36,192.168.42.211,53747,53,17,2023-11-24 20:06:16,106770.99227905273,3184.38550342764,37.46335886385459,18.731679431927294,18.731679431927294,2,2,154,186,77.0,77.0,77.0,0.0,93.0,93.0,93.0,0.0,93,77,85.0,8.0,64.0,16,16,8,2,35590.33075968424,102858.06655883789,1318.9315795898438,47568.320380915924,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,85.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,93.0,0,2,2,154,186
192.168.42.36,192.168.42.211,50219,53,17,2023-11-24 20:06:16,106770.03860473633,3109.486559511953,37.46369348809582,18.73184674404791,18.73184674404791,2,2,150,182,75.0,75.0,75.0,0.0,91.0,91.0,91.0,0.0,91,75,83.0,8.0,64.0,16,16,8,2,35590.012868245445,102857.11288452148,0.0,47591.83967427429,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,83.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,91.0,0,2,2,150,182
192.168.42.36,192.168.42.211,57116,53,17,2023-11-24 20:06:16,107472.89657592773,3386.9004334766423,37.21868608216091,18.609343041080454,18.609343041080454,2,2,154,210,77.0,77.0,77.0,0.0,105.0,105.0,105.0,0.0,105,77,91.0,14.0,196.0,16,16,8,2,35824.29885864258,102492.8092956543,2393.960952758789,47141.821099035966,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,91.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,105.0,0,2,2,154,210
192.168.42.36,192.168.42.211,60618,53,17,2023-11-24 20:06:16,107377.0523071289,3315.4197507837966,37.25190731217749,18.625953656088743,18.625953656088743,2,2,150,206,75.0,75.0,75.0,0.0,103.0,103.0,103.0,0.0,103,75,89.0,14.0,196.0,16,16,8,2,35792.35076904297,102292.06085205078,2490.997314453125,47022.41474679651,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,89.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,103.0,0,2,2,150,206
