src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.137.67,192.168.137.1,62034,53,17,2023-11-25 00:49:21,9098463.05847168,89.5755683968123,0.6594520372771457,0.32972601863857287,0.32972601863857287,3,3,242,573,91.0,75.0,80.66666666666667,7.3181661333667165,346.0,75.0,191.0,114.02046599916467,346,75,135.83333333333334,97.82879035448728,9570.472222222223,24,24,8,3,1819692.611694336,7371050.834655762,3883.1233978271484,2851709.387664239,9094579.935073853,7383018.016815186,1711561.918258667,4547289.967536926,2835728.0492782593,9085406.064987183,7374933.958053589,1710472.1069335938,4542703.032493591,2832230.9255599976,0,0,0,0,0,0,0,0,0,0,0,1.0,135.83333333333334,0,0,0.0,0.0,0.0,0.0,5672545.909881592,1698504.92477417,3685525.417327881,1987020.492553711,0.0,0.0,0.0,0.0,0.0,0.0,80.66666666666667,191.0,0,3,3,242,573
192.168.137.67,140.82.112.26,53266,443,6,2023-11-25 00:49:21,1152417.8981781006,6173.975613575911,17.35481549845653,7.809666974305439,9.545148524151092,9,11,2921,4194,1179.0,54.0,324.55555555555554,390.71134872779334,1478.0,54.0,381.27272727272725,531.1238668930922,1478,54,355.75,473.9641204774893,224641.9875,180,220,20,4,60653.57358832108,553100.8243560791,0.0,142044.31845618263,1152417.8981781006,556510.9252929688,255.10787963867188,144052.23727226257,199087.92366339974,1109294.8913574219,553100.8243560791,0.0,110929.48913574219,181283.38660350497,0,0,0,0,1,0,0,0,0,0,0,1.2222222222222223,355.75,64240,160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324.55555555555554,381.27272727272725,0,9,11,2921,4194
192.168.137.67,192.168.137.1,50376,53,17,2023-11-25 00:49:23,11246.919631958008,13336.985139804548,177.8264685307273,88.91323426536366,88.91323426536366,1,1,75,75,75.0,75.0,75.0,0.0,75.0,75.0,75.0,0.0,75,75,75.0,0.0,0.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0192.168.137.1,224.0.0.251,5353,5353,17,2023-11-25 00:49:28,922111.0343933105,184.35957673128704,2.168936196838671,2.168936196838671,0.0,2,0,170,0,85.0,85.0,85.0,0.0,0.0,0.0,0.0,0.0,85,85,85.0,0.0,0.0,16,0,8,2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,85.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0,2,0,170,0
192.168.137.67,20.72.205.209,53267,443,6,2023-11-25 00:49:30,1301478.8627624512,5521.411223496455,19.97727411785525,9.220280362087038,10.756993755768212,12,14,2148,5038,1045.0,54.0,179.0,269.9533910387742,1514.0,54.0,359.85714285714283,519.2982706283076,1514,54,276.38461538461536,432.4011738512385,186970.775147929,240,280,20,5,52059.15451049805,494327.7835845947,0.0,119150.08917884348,1301478.8627624512,497865.9152984619,97.03636169433594,118316.26025113193,166345.5012576303,1298470.0202941895,494327.7835845947,0.0,99882.30925339919,156085.48199395038,0,0,0,0,1,0,0,0,0,0,0,1.1666666666666667,276.38461538461536,64240,147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.0,359.85714285714283,0,12,14,2148,5038
192.168.137.67,20.44.10.122,53170,443,6,2023-11-25 00:49:38,4031.8965911865234,30010.690319910118,496.0444680976879,248.02223404884396,248.02223404884396,1,1,55,66,55.0,55.0,55.0,0.0,66.0,66.0,66.0,0.0,66,55,60.5,5.5,30.25,20,20,20,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,60.5,1021,2717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,66.0,0,1,1,55,66
52.113.194.132,192.168.137.67,443,53262,6,2023-11-25 00:49:44,52.928924560546875,2040472.2162162163,37786.52252252252,18893.26126126126,18893.26126126126,1,1,54,54,54.0,54.0,54.0,0.0,54.0,54.0,54.0,0.0,54,54,54.0,0.0,0.0,20,20,20,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,54.0,141,1024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,54.0,0,1,1,54,54
192.168.137.67,20.198.118.190,49417,443,6,2023-11-25 00:49:45,3041.0289764404297,39789.16377891023,657.6721285770286,328.8360642885143,328.8360642885143,1,1,55,66,55.0,55.0,55.0,0.0,66.0,66.0,66.0,0.0,66,55,60.5,5.5,30.25,20,20,20,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,60.5,509,243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,66.0,0,1,1,55,66
192.168.137.67,34.120.214.181,53246,443,6,2023-11-25 00:49:50,42797.088623046875,2827.2951243426332,46.73215081558071,23.366075407790355,23.366075407790355,1,1,55,66,55.0,55.0,55.0,0.0,66.0,66.0,66.0,0.0,66,55,60.5,5.5,30.25,20,20,20,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,60.5,1020,168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,66.0,0,1,1,55,66
192.168.137.67,142.250.193.4,52272,443,17,2023-11-25 00:49:53,4738904.95300293,3281.770821367724,4.431403501075245,1.4771345003584149,2.9542690007168297,7,14,1867,13685,1292.0,73.0,266.7142857142857,419.080529010736,1292.0,67.0,977.5,449.1515414009587,1292,67,740.5714285714286,552.543691134235,305304.5306122449,56,112,8,7,236945.24765014648,2315366.9834136963,0.0,545392.5955325497,430398.94104003906,235222.10121154785,181.9133758544922,71733.15684000652,85588.01152066694,4595129.96673584,2315366.9834136963,0.0,353471.5359027569,646610.8273145212,0,0,0,0,1,0,0,0,0,0,0,2.0,740.5714285714286,0,0,0.0,0.0,0.0,0.0,1206122.1599578857,1109244.8234558105,1157683.4917068481,48438.6682510376,0.0,0.0,5836.0,6.0,0.0,64097.385205571285,266.7142857142857,977.5,0,7,14,1867,13685
192.168.137.67,172.64.150.28,53215,443,6,2023-11-25 00:49:57,41139.12582397461,2941.238968414952,48.615520139090115,24.307760069545058,24.307760069545058,1,1,55,66,55.0,55.0,55.0,0.0,66.0,66.0,66.0,0.0,66,55,60.5,5.5,30.25,20,20,20,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,60.5,1023,1268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,66.0,0,1,1,55,66
